,Category,Distance,Radian
512,veggiecabbage,0.3370000000000001,1.269
513,veggiecabbage,0.21300000000000008,-2.848
514,veggiecabbage,0.14350000000000002,0.132
515,veggiecabbage,0.2665,-2.244
516,veggiecabbage,0.1825000000000001,2.306
517,veggiecabbage,0.3975,1.043
518,veggiecabbage,0.2405,-1.809
519,veggiecabbage,0.1805,-1.36
520,veggiecabbage,0.2705,2.272
521,veggiecabbage,0.24050000000000005,0.849
522,veggiecabbage,0.25650000000000006,2.111
523,veggiecabbage,0.19600000000000006,2.898
524,veggiecabbage,0.4155,2.94
525,veggiecabbage,0.11050000000000004,0.32
526,veggiecabbage,0.29250000000000004,-2.495
527,veggiecabbage,0.3195,-0.147
528,veggiecabbage,0.19050000000000006,0.485
529,veggiecabbage,0.31250000000000006,1.293
530,veggiecabbage,0.1715000000000001,1.707
531,veggiecabbage,0.37950000000000006,-0.945
532,veggiecabbage,0.22950000000000004,-0.367
533,veggiecabbage,0.1615000000000001,1.878
534,veggiecabbage,0.2785000000000001,2.751
535,veggiecabbage,0.2320000000000001,1.302
536,veggiecabbage,0.12650000000000006,-0.35
537,veggiecabbage,0.20200000000000007,0.966
538,veggiecabbage,0.20550000000000002,-0.471
539,veggiecabbage,0.21850000000000003,2.556
540,veggiecabbage,0.2915,2.066
541,veggiecabbage,0.34800000000000003,-1.725
542,veggiecabbage,0.26250000000000007,2.388
543,veggiecabbage,0.37750000000000006,1.47
544,veggiecabbage,0.16600000000000004,-1.859
545,veggiecabbage,0.23950000000000005,-2.717
546,veggiecabbage,0.3440000000000001,-1.48
547,veggiecabbage,0.23050000000000004,1.004
548,veggiecabbage,0.257,-1.312
549,veggiecabbage,0.20100000000000007,-0.296
550,veggiecabbage,0.29800000000000004,-2.679
551,veggiecabbage,0.21200000000000008,1.198
552,veggiecabbage,0.1855,0.679
553,veggiecabbage,0.35850000000000004,2.722
554,veggiecabbage,0.3125,2.902
555,veggiecabbage,0.3395,-1.627
556,veggiecabbage,0.23850000000000005,0.324
557,veggiecabbage,0.266,2.463
558,veggiecabbage,0.33050000000000007,2.553
559,veggiecabbage,0.15700000000000014,-2.316
560,veggiecabbage,0.312,-1.772
561,veggiecabbage,0.2575,2.744
562,veggiecabbage,0.258,2.745
563,veggiecabbage,0.3175,-2.446
564,veggiecabbage,0.245,2.642
565,veggiecabbage,0.24450000000000005,1.568
566,veggiecabbage,0.29050000000000004,-1.461
567,veggiecabbage,0.29250000000000004,-2.976
568,veggiecabbage,0.239,-1.22
569,veggiecabbage,0.2330000000000001,0.62
570,veggiecabbage,0.10299999999999998,-0.509
