,Action,Movable,Surface,x,y,z,yaw,dx,run_name
197,pick,veggietomato,box,0.27099999999999996,-0.078,0.07700000000000018,1.633,0.13250000000000006,/_gmm/1255
198,pick,veggietomato,box,0.16799999999999998,0.34799999999999986,0.07699999999999996,0.749,0.09750000000000003,/_gmm/1259
199,pick,veggietomato,box,0.21200000000000002,0.4870000000000001,0.07699999999999996,1.285,0.05349999999999999,/_gmm/1260
200,pick,veggietomato,box,0.292,-0.2809999999999999,0.07700000000000018,2.757,0.11150000000000004,/_gmm/1297
201,pick,veggietomato,box,0.326,-0.018000000000000016,0.07700000000000018,1.431,0.07800000000000007,/_gmm/1300
202,pick,veggietomato,box,0.28600000000000003,-0.03000000000000025,0.07700000000000018,0.657,0.09450000000000003,/_gmm/1305
203,pick,veggietomato,box,0.26,-0.040000000000000036,0.07700000000000018,2.833,0.12050000000000005,/_gmm/1328
204,pick,veggietomato,box,0.243,0.5609999999999995,0.07700000000000018,0.479,0.135,/_gmm/1329
205,pick,veggietomato,box,0.259,0.11699999999999999,0.07700000000000018,0.76,0.12150000000000005,/_gmm/1333
206,pick,veggietomato,box,0.292,-0.2860000000000005,0.07700000000000018,2.365,0.11150000000000004,/_gmm/1344
207,pick,veggietomato,box,0.26299999999999996,-0.36099999999999977,0.07700000000000018,0.309,0.14050000000000007,/_gmm/1374
208,pick,veggietomato,box,0.268,0.3949999999999996,0.07700000000000018,2.896,0.11250000000000004,/_gmm/1384
209,pick,veggietomato,box,0.30399999999999994,0.04100000000000015,0.07700000000000018,1.562,0.07650000000000012,/_gmm/1386
210,pick,veggietomato,box,0.24000000000000005,-0.01100000000000012,0.07600000000000007,0.201,0.057499999999999996,/_gmm/1412
211,pick,veggietomato,box,0.253,0.009000000000000008,0.07700000000000018,2.771,0.125,/_gmm/1421
212,pick,veggietomato,box,0.185,0.11899999999999977,0.07600000000000007,0.911,0.11250000000000004,/_gmm/1422
213,pick,veggietomato,box,0.15100000000000002,-0.009000000000000119,0.07600000000000007,2.857,0.14650000000000002,/_gmm/1429
214,pick,veggietomato,box,0.20700000000000002,0.39700000000000024,0.07699999999999996,0.88,0.058499999999999996,/_gmm/1430
215,pick,veggietomato,box,0.30399999999999994,-0.01200000000000001,0.07700000000000018,1.163,0.07400000000000007,/_gmm/1442
216,pick,veggietomato,box,0.297,-0.16600000000000037,0.07700000000000018,2.991,0.10650000000000004,/_gmm/1451
217,pick,veggietomato,box,0.127,-0.07200000000000006,0.07600000000000007,2.428,0.17050000000000004,/_gmm/1456
218,pick,veggietomato,box,0.262,0.067,0.07700000000000018,1.692,0.11599999999999999,/_gmm/1472
219,pick,veggietomato,box,0.243,0.40700000000000003,0.07700000000000018,3.001,0.135,/_gmm/1491
220,pick,veggietomato,box,0.11699999999999999,-0.07799999999999999,0.07699999999999996,0.322,0.14850000000000002,/_gmm/1492
221,pick,veggietomato,box,0.268,0.184,0.07700000000000018,3.06,0.11250000000000004,/_gmm/1494
222,pick,veggietomato,box,0.15899999999999997,0.11799999999999944,0.07600000000000007,0.156,0.13850000000000007,/_gmm/1495
223,pick,veggietomato,box,0.17899999999999994,0.06699999999999995,0.07700000000000018,2.885,0.19900000000000007,/_gmm/1503
224,pick,veggietomato,box,0.124,-0.49599999999999955,0.07699999999999996,2.253,0.14150000000000001,/_gmm/1511
225,pick,veggietomato,box,0.304,-0.15199999999999997,0.07700000000000018,3.128,0.09950000000000003,/_gmm/1513
226,pick,veggietomato,box,0.281,0.20500000000000007,0.07700000000000018,0.431,0.09950000000000003,/_gmm/1522
227,pick,veggietomato,box,0.31099999999999994,0.10000000000000009,0.07700000000000018,0.004,0.06700000000000006,/_gmm/1530
228,pick,veggietomato,box,0.329,0.9109999999999996,0.07700000000000018,1.047,0.07500000000000007,/_gmm/1533
229,pick,veggietomato,box,0.263,0.2240000000000002,0.07700000000000018,2.567,0.11499999999999999,/_gmm/1537
230,pick,veggietomato,box,0.251,-0.019000000000000128,0.07700000000000018,3.067,0.127,/_gmm/1542
231,pick,veggietomato,box,0.20399999999999996,0.187,0.07700000000000018,3.09,0.17400000000000004,/_gmm/1546
232,pick,veggietomato,box,0.28099999999999997,-0.3440000000000001,0.07700000000000018,2.659,0.12300000000000011,/_gmm/1548
233,pick,veggietomato,box,0.264,0.2760000000000007,0.07700000000000018,2.673,0.11650000000000005,/_gmm/1555
234,pick,veggietomato,box,0.14300000000000002,-0.10299999999999976,0.07600000000000007,2.907,0.15450000000000003,/_gmm/1567
235,pick,veggietomato,box,0.26599999999999996,-0.015,0.07700000000000018,2.075,0.13800000000000012,/_gmm/1568
236,pick,veggietomato,box,0.28600000000000003,0.6280000000000001,0.07700000000000018,1.663,0.09450000000000003,/_gmm/1576
